encode_time;decode_time;peak_enc_mem;peak_dec_mem;peak_delta_enc;peak_delta_dec;param_name;layer_type;shape;numel;bits_quant;raw_bytes;qstep;mse_quant;nmse_quant;mse_post;nmse_post;compressed_bytes;compression_ratio;compression_gain_pct;bits_per_element;decoded_equal
0,00069498000011658;0,00025467999985262;780392038,4;780391219,2;19660,8;18841,6;features.4.0.block.2.fc1.weight;weight;(10, 240, 1, 1);2400;8;2400;0,0035485861571604;1.0039193512056954e-06;0,0001662307321795;1.0039193512056954e-06;0,0001662307321795;1957;1,2263668880940215;18,45833333333333;6,523333333333333;True
0,0015127400001801801;0,00047720000038673995;780391219,2;780392038,4;18841,6;19660,8;features.4.0.block.2.fc1.weight;weight;(10, 240, 1, 1);2400;16;4800;1.4069570251206126e-05;1.5955152130042727e-11;2.641882156597905e-09;1.5955152130042727e-11;2.641882156597905e-09;4397;1,0916534000454856;8,395833333333336;14,656666666666666;True
0,00011431999992050001;9.917999923343798e-05;780390400,0;780387942,4;5734,4;18022,4;features.4.0.block.2.fc2.bias;bias;(240,);240;8;240;0,0276919667777729;5.706749652745202e-05;2.242358720496977e-05;5.706749652745202e-05;2.242358720496977e-05;242;0,9917355371900828;-0.8333333333333304;8,066666666666666;True
0,00014168000016066;9.717999964776719e-05;780387942,4;780390400,0;9011,2;20480,0;features.4.0.block.2.fc2.bias;bias;(240,);240;16;480;0,0001037401985546;7.831127413204796e-10;3.0770925509016274e-10;7.831127413204796e-10;3.0770925509016274e-10;482;0,995850622406639;-0.4166666666666652;16,066666666666666;True
0,0006774599994968801;0,00015187999997574;780396134,4;780396134,4;19660,8;19660,8;features.4.0.block.2.fc2.weight;weight;(240, 10, 1, 1);2400;8;2400;0,0061670832770163;3.1989322906156303e-06;0,0002775252770829;3.1989322906156303e-06;0,0002775252770829;1715;1,3994169096209912;28,541666666666664;5,716666666666667;True
0,0014647800002421199;0,0003884600002493;780401049,6;780389580,8;19660,8;19660,8;features.4.0.block.2.fc2.weight;weight;(240, 10, 1, 1);2400;16;4800;2.43380099328582e-05;4.8476261199636994e-11;4.205586926876345e-09;4.8476261199636994e-11;4.205586926876345e-09;4137;1,160261058738216;13,812499999999996;13,79;True
0,00678365999992814;0,0018699800002650198;780389580,8;780389580,8;19660,8;19660,8;features.4.0.block.3.0.weight;weight;(80, 240, 1, 1);19200;8;19200;0,00390625;1.267910306523845e-06;5.0184525802455855e-05;0,0001069567369995;0,0042334012903618;17927;1,0710102080660455;6,630208333333321;7,469583333333333;True
0,0078567599997768;0,0020893199998681202;780389580,8;780389580,8;19660,8;19660,8;features.4.0.block.3.0.weight;weight;(80, 240, 1, 1);19200;16;38400;0,00390625;1.267910306523845e-06;5.0184525802455855e-05;1.267910306523845e-06;5.0184525802455855e-05;18026;2,130256296460668;53,05729166666666;7,510833333333333;True
5.300000011629664e-05;4.72399995487649e-05;780389580,8;780388761,6;9011,2;18841,6;features.4.0.block.3.1.bias;bias;(80,);80;8;80;3.2420017282268035e-05;7.634624876740048e-11;7.94166223851697e-05;7.634624876740048e-11;7.94166223851697e-05;82;0,975609756097561;-2.5000000000000133;8,2;True
6.251999984668096e-05;4.4039999556844124e-05;780390400,0;780389580,8;9830,4;19660,8;features.4.0.block.3.1.bias;bias;(80,);80;16;160;1.3346823686636316e-07;1.24442014852455e-15;1.294466285108037e-09;1.24442014852455e-15;1.294466285108037e-09;162;0,9876543209876544;-1.2499999999999956;16,2;True
